발표일,시간,발표,예측,이전
2022년 07월 13일 (6월),21:30,,291.66,292.3
2022년 06월 10일 (5월),21:30,292.3,291.66,289.11
2022년 05월 11일 (4월),21:30,289.11,288.65,287.5
2022년 04월 12일 (3월),21:30,287.5,287.41,283.72
2022년 03월 10일 (2월),22:30,283.72,283.66,281.15
2022년 02월 10일 (1월),22:30,281.15,280.39,278.8
2022년 01월 12일 (12월),22:30,278.8,278.74,277.95
2021년 12월 10일 (11월),22:30,277.95,278.11,276.59
2021년 11월 10일 (10월),22:30,276.59,275.76,274.31
2021년 10월 13일 (9월),21:30,274.31,274.14,273.57
2021년 09월 14일 (8월),21:30,273.57,273.79,273
2021년 08월 11일 (7월),21:30,273,272.87,271.7
2021년 07월 13일 (6월),21:30,271.7,270.64,269.2
2021년 06월 10일 (5월),21:30,269.2,268.47,267.05
2021년 05월 12일 (4월),21:30,267.05,265.58,264.88
2021년 04월 13일 (3월),21:30,264.88,264.69,263.01
2021년 03월 10일 (2월),22:30,263.01,263.08,261.58
2021년 02월 10일 (1월),22:30,261.58,261.79,260.47
2021년 01월 13일 (12월),22:30,260.47,260.43,260.23
2020년 12월 10일 (11월),22:30,260.23,260.11,260.39
2020년 11월 12일 (10월),22:30,260.39,260.49,260.28
2020년 10월 13일 (9월),21:30,260.28,260.35,259.92
2020년 09월 11일 (8월),21:30,259.92,259.52,259.1
2020년 08월 12일 (7월),21:30,259.1,258.51,257.8
2020년 07월 14일 (6월),21:30,257.8,257.73,256.39
2020년 06월 10일 (5월),21:30,256.39,256.84,256.39
2020년 05월 12일 (4월),21:30,256.39,256.45,258.12
2020년 04월 10일 (3월),21:30,258.12,258.2,258.68
2020년 03월 11일 (2월),21:30,258.68,258.54,257.97
2020년 02월 13일 (1월),22:30,257.97,257.86,256.97
2020년 01월 14일 (12월),22:30,256.97,257.17,257.21
2019년 12월 11일 (11월),22:30,257.21,257.22,257.35
2019년 11월 13일 (10월),22:30,257.35,257.23,256.76
2019년 10월 10일 (9월),21:30,256.76,256.86,256.56
2019년 09월 12일 (8월),21:30,256.56,256.58,256.57
2019년 08월 13일 (7월),21:30,256.57,256.44,256.14
2019년 07월 11일 (6월),21:30,256.14,256.08,256.09
2019년 06월 12일 (5월),21:30,256.09,256.2,255.55
2019년 05월 10일 (4월),21:30,255.55,255.82,254.2
2019년 04월 10일 (3월),21:30,254.2,254.12,252.78
2019년 03월 12일 (2월),21:30,252.78,252.86,251.71
2019년 02월 13일 (1월),22:30,251.71,251.52,251.23
2019년 01월 11일 (12월),22:30,251.23,251.1,252.04
2018년 12월 12일 (11월),22:30,252.04,252.06,252.89
2018년 11월 14일 (10월),22:30,252.89,252.8,252.44
2018년 10월 11일 (9월),21:30,252.44,252.69,252.15
2018년 09월 13일 (8월),21:30,252.15,252.4,252.01
2018년 08월 10일 (7월),21:30,252.01,251.98,251.99
2018년 07월 12일 (6월),21:30,251.99,252,251.59
2018년 06월 12일 (5월),21:30,251.59,251.56,250.55
2018년 05월 10일 (4월),21:30,250.55,250.68,249.55
2018년 04월 11일 (3월),21:30,249.55,249.58,248.99
2018년 03월 13일 (2월),21:30,248.99,248.94,247.87
2018년 02월 14일 (1월),22:30,247.87,247.6,246.52
2018년 01월 12일 (12월),22:30,246.52,246.38,246.67
2017년 12월 13일 (11월),22:30,246.67,246.81,246.66
2017년 11월 15일 (10월),22:30,246.66,246.66,246.82
2017년 10월 13일 (9월),21:30,246.82,246.94,245.52
2017년 09월 14일 (8월),21:30,245.52,245.34,244.79
2017년 08월 11일 (7월),21:30,244.79,244.9,244.96
2017년 07월 14일 (6월),21:30,244.96,245.1,244.73
2017년 06월 14일 (5월),21:30,244.73,244.91,244.52
2017년 05월 12일 (4월),21:30,244.52,244.6,243.8
2017년 04월 14일 (3월),21:30,243.8,244.31,243.6
2017년 03월 15일 (2월),21:30,243.6,243.28,242.84
2017년 02월 15일 (1월),22:30,242.84,242.47,241.43
2017년 01월 18일 (12월),22:30,241.43,241.71,241.35
2016년 12월 15일 (11월),22:30,241.35,241.39,241.73
2016년 11월 17일 (10월),22:30,241.73,241.79,241.43
2016년 10월 18일 (9월),21:30,241.43,241.51,240.85
2016년 09월 16일 (8월),21:30,240.85,240.68,240.65
2016년 08월 16일 (7월),21:30,240.65,240.83,241.04
2016년 07월 15일 (6월),21:30,241.04,241.09,240.24
2016년 06월 16일 (5월),21:30,240.24,240.36,239.26
2016년 05월 17일 (4월),21:30,239.26,239.11,238.13
2016년 04월 14일 (3월),21:30,238.13,238.55,237.11
2016년 03월 16일 (2월),21:30,237.11,236.9,236.92
2016년 02월 19일 (1월),22:30,236.92,236.61,236.53
2016년 01월 20일 (12월),22:30,236.53,236.69,237.34
2015년 12월 15일 (11월),22:30,237.34,237.21,237.84
2015년 11월 17일 (10월),22:30,237.84,237.84,237.95
2015년 10월 15일 (9월),21:30,237.95,237.8,238.32
2015년 09월 16일 (8월),21:30,238.32,238.43,238.65
2015년 08월 19일 (7월),21:30,238.65,238.7,238.64
2015년 07월 17일 (6월),21:30,238.64,238.67,237.81
2015년 06월 18일 (5월),21:30,237.81,238.04,236.6
2015년 05월 22일 (4월),21:30,236.6,236.71,236.12
2015년 04월 17일 (3월),21:30,236.12,236.17,234.72
2015년 03월 24일 (2월),21:30,234.72,234.6,233.71
2015년 02월 26일 (1월),22:30,233.71,233.7,234.81
2015년 01월 16일 (12월),22:30,234.81,234.7,236.15
2014년 12월 17일 (11월),22:30,236.15,236.58,237.43
2014년 11월 20일 (10월),22:30,237.43,239.3,238.03
2014년 10월 22일 (9월),21:30,238.03,237.97,237.85
2014년 09월 17일,21:30,237.85,238.26,238.25
2014년 08월 01일 (7월),18:00,238.25,,238.34
2014년 07월 01일 (6월),18:00,238.34,,237.9
2014년 06월 01일 (5월),18:00,237.9,,237.07
2014년 05월 01일 (4월),18:00,237.07,,236.29
2014년 04월 01일 (3월),18:00,236.29,,234.78
2014년 03월 01일 (2월),18:00,234.78,,233.92
2014년 02월 01일 (1월),18:00,233.92,,233.05
2014년 01월 01일 (12월),18:00,233.05,,233.07
2013년 12월 01일 (11월),18:00,233.07,,233.55
2013년 11월 01일 (10월),18:00,233.55,,234.15
2013년 10월 01일 (9월),18:00,234.15,,233.88
2013년 09월 01일 (8월),18:00,233.88,,233.6
2013년 08월 01일 (7월),18:00,233.6,,233.5
2013년 07월 01일 (6월),18:00,233.5,,232.94
2013년 06월 01일 (5월),18:00,232.94,,232.53
2013년 05월 01일 (4월),18:00,232.53,,232.77
2013년 04월 01일 (3월),18:00,232.77,,232.17
2013년 03월 01일 (2월),18:00,232.17,,230.28
2013년 02월 01일 (1월),18:00,230.28,,229.6
2013년 01월 01일 (12월),18:00,229.6,,230.22
2012년 12월 01일 (11월),18:00,230.22,,231.32
2012년 11월 01일 (10월),18:00,231.32,,231.41
2012년 10월 01일 (9월),18:00,231.41,,230.38
2012년 09월 01일 (8월),18:00,230.38,,229.1
2012년 08월 01일 (7월),18:00,229.1,,229.48
2012년 07월 01일 (6월),18:00,229.48,,229.82
2012년 06월 01일 (5월),18:00,229.82,,230.08
2012년 05월 01일 (4월),18:00,230.08,,229.39
2012년 04월 01일 (3월),18:00,229.39,,227.66
2012년 03월 01일 (2월),18:00,227.66,,226.66
2012년 02월 01일 (1월),18:00,226.66,,225.67
2012년 01월 01일 (12월),18:00,225.67,,226.23
2011년 12월 01일 (11월),18:00,226.23,,226.42
2011년 11월 01일 (10월),18:00,226.42,,226.89
2011년 10월 01일 (9월),18:00,226.89,,226.54
2011년 09월 01일 (8월),18:00,226.54,,225.92
2011년 08월 01일 (7월),18:00,225.92,,225.72
2011년 07월 01일 (6월),18:00,225.72,,225.96
2011년 06월 01일 (5월),18:00,225.96,,224.91
2011년 05월 01일 (4월),18:00,224.91,,223.47
2011년 04월 01일 (3월),18:00,223.47,,221.31
2011년 03월 01일 (2월),18:00,221.31,,220.22
2011년 02월 01일 (1월),18:00,220.22,,219.18
2011년 01월 01일 (12월),18:00,219.18,,218.8
2010년 12월 01일 (11월),18:00,218.8,,218.71
2010년 11월 01일 (10월),18:00,218.71,,218.44
2010년 10월 01일 (9월),18:00,218.44,,218.31
2010년 09월 01일 (8월),18:00,218.31,,218.01
2010년 08월 01일 (7월),18:00,218.01,,217.96
2010년 07월 01일 (6월),18:00,217.96,,218.18
2010년 06월 01일 (5월),18:00,218.18,,218.01
2010년 05월 01일 (4월),18:00,218.01,,217.63
2010년 04월 01일 (3월),18:00,217.63,,216.74
2010년 03월 01일 (2월),18:00,216.74,,216.69
2010년 02월 01일 (1월),18:00,216.69,,215.95
2010년 01월 01일 (12월),18:00,215.95,,216.33
2009년 12월 01일 (11월),18:00,216.33,,216.18
2009년 11월 01일 (10월),18:00,216.18,,215.97
2009년 10월 01일 (9월),18:00,215.97,,215.83
2009년 09월 01일 (8월),18:00,215.83,,215.35
2009년 08월 01일 (7월),18:00,215.35,,215.69
2009년 07월 01일 (6월),18:00,215.69,,213.86
2009년 06월 01일 (5월),18:00,213.86,,213.24
2009년 05월 01일 (4월),18:00,213.24,,212.71
2009년 04월 01일 (3월),18:00,212.71,,212.19
2009년 03월 01일 (2월),18:00,212.19,,211.14
2009년 02월 01일 (1월),18:00,211.14,,210.23
2009년 01월 01일 (12월),18:00,210.23,,212.42
2008년 12월 01일 (11월),18:00,212.42,,216.57
2008년 11월 01일 (10월),18:00,216.57,,218.78
2008년 10월 01일 (9월),18:00,218.78,,219.09
2008년 09월 01일 (8월),18:00,219.09,,219.96
2008년 08월 01일 (7월),18:00,219.96,,218.82
2008년 07월 01일 (6월),18:00,218.82,,216.63
2008년 06월 01일 (5월),18:00,216.63,,214.82
2008년 05월 01일 (4월),18:00,214.82,,213.53
2008년 04월 01일 (3월),18:00,213.53,,211.69
2008년 03월 01일 (2월),18:00,211.69,,211.08
2008년 02월 01일 (1월),18:00,211.08,,210.04
2008년 01월 01일 (12월),18:00,210.04,,210.18
2007년 12월 01일 (11월),18:00,210.18,,208.94
2007년 11월 01일 (10월),18:00,208.94,,208.49
2007년 10월 01일 (9월),18:00,208.49,,207.92
2007년 09월 01일 (8월),18:00,207.92,,208.3
2007년 08월 01일 (7월),18:00,208.3,,208.35
2007년 07월 01일 (6월),18:00,208.35,,207.95
2007년 06월 01일 (5월),18:00,207.95,,206.69
2007년 05월 01일 (4월),18:00,206.69,,205.35
2007년 04월 01일 (3월),18:00,205.35,,203.5
2007년 03월 01일 (2월),18:00,203.5,,202.42
2007년 02월 01일 (1월),18:00,202.42,,201.8
2007년 01월 01일 (12월),18:00,201.8,,201.5
2006년 12월 01일 (11월),18:00,201.5,,201.8
2006년 11월 01일 (10월),18:00,201.8,,202.9
2006년 10월 01일 (9월),18:00,202.9,,203.9
2006년 09월 01일 (8월),18:00,203.9,,203.5
2006년 08월 01일 (7월),18:00,203.5,,202.9
2006년 07월 01일 (6월),18:00,202.9,,202.5
2006년 06월 01일 (5월),18:00,202.5,,201.5
2006년 05월 01일 (4월),18:00,201.5,,199.8
2006년 04월 01일 (3월),18:00,199.8,,198.7
2006년 03월 01일 (2월),18:00,198.7,,198.3
2006년 02월 01일 (1월),18:00,198.3,,196.8
2006년 01월 01일 (12월),18:00,196.8,,197.6
2005년 12월 01일 (11월),18:00,197.6,,199.2
2005년 11월 01일 (10월),18:00,199.2,,198.8
2005년 10월 01일 (9월),18:00,198.8,,196.4
2005년 09월 01일 (8월),18:00,196.4,,195.4
2005년 08월 01일 (7월),18:00,195.4,,194.5
2005년 07월 01일 (6월),18:00,194.5,,194.4
2005년 06월 01일 (5월),18:00,194.4,,194.6
2005년 05월 01일 (4월),18:00,194.6,,193.3
2005년 04월 01일 (3월),18:00,193.3,,191.8
2005년 03월 01일 (2월),18:00,191.8,,190.7
2005년 02월 01일 (1월),18:00,190.7,,190.3
2005년 01월 01일 (12월),18:00,190.3,,191
2004년 12월 01일 (11월),18:00,191,,190.9
2004년 11월 01일 (10월),18:00,190.9,,189.9
2004년 10월 01일 (9월),18:00,189.9,,189.5
2004년 09월 01일 (8월),18:00,189.5,,189.4
2004년 08월 01일 (7월),18:00,189.4,,189.7
2004년 07월 01일 (6월),18:00,189.7,,189.1
2004년 06월 01일 (5월),18:00,189.1,,188
2004년 05월 01일 (4월),18:00,188,,187.4
2004년 04월 01일 (3월),18:00,187.4,,186.2
2004년 03월 01일 (2월),18:00,186.2,,185.2
2004년 02월 01일 (1월),18:00,185.2,,184.3
2004년 01월 01일 (12월),18:00,184.3,,184.5
2003년 12월 01일 (11월),18:00,184.5,,185
2003년 11월 01일 (10월),18:00,185,,185.2
2003년 10월 01일 (9월),18:00,185.2,,184.6
2003년 09월 01일 (8월),18:00,184.6,,183.9
2003년 08월 01일 (7월),18:00,183.9,,183.7
2003년 07월 01일 (6월),18:00,183.7,,183.5
2003년 06월 01일 (5월),18:00,183.5,,183.8
2003년 05월 01일 (4월),18:00,183.8,,184.2
2003년 04월 01일 (3월),18:00,184.2,,183.1
2003년 03월 01일 (2월),18:00,183.1,,181.7
2003년 02월 01일 (1월),18:00,181.7,,180.9
2003년 01월 01일 (12월),18:00,180.9,,181.3
2002년 12월 01일 (11월),18:00,181.3,,181.3
2002년 11월 01일 (10월),18:00,181.3,,181
2002년 10월 01일 (9월),18:00,181,,180.7
2002년 09월 01일 (8월),18:00,180.7,,180.1
2002년 08월 01일 (7월),18:00,180.1,,179.9
2002년 07월 01일 (6월),18:00,179.9,,179.8
2002년 06월 01일 (5월),18:00,179.8,,179.8
2002년 05월 01일 (4월),18:00,179.8,,178.8
2002년 04월 01일 (3월),18:00,178.8,,177.8
2002년 03월 01일 (2월),18:00,177.8,,177.1
2002년 02월 01일 (1월),18:00,177.1,,176.7
2002년 01월 01일 (12월),18:00,176.7,,177.4
2001년 12월 01일 (11월),18:00,177.4,,177.7
2001년 11월 01일 (10월),18:00,177.7,,178.3
2001년 10월 01일 (9월),18:00,178.3,,177.5
2001년 09월 01일 (8월),18:00,177.5,,177.5
2001년 08월 01일 (7월),18:00,177.5,,178
2001년 07월 01일 (6월),18:00,178,,177.7
2001년 06월 01일 (5월),18:00,177.7,,176.9
2001년 05월 01일 (4월),18:00,176.9,,176.2
2001년 04월 01일 (3월),18:00,176.2,,175.8
2001년 03월 01일 (2월),18:00,175.8,,175.1
2001년 02월 01일 (1월),18:00,175.1,,174
2001년 01월 01일 (12월),18:00,174,,174.1
2000년 12월 01일 (11월),18:00,174.1,,174
2000년 11월 01일 (10월),18:00,174,,173.7
2000년 10월 01일 (9월),18:00,173.7,,172.8
2000년 09월 01일 (8월),18:00,172.8,,172.8
2000년 08월 01일 (7월),18:00,172.8,,172.4
2000년 07월 01일 (6월),18:00,172.4,,171.5
2000년 06월 01일 (5월),18:00,171.5,,171.3
2000년 05월 01일 (4월),18:00,171.3,,171.2
2000년 04월 01일 (3월),18:00,171.2,,169.8
2000년 03월 01일 (2월),18:00,169.8,,168.8
2000년 02월 01일 (1월),18:00,168.8,,168.3
2000년 01월 01일 (12월),18:00,168.3,,168.3
1999년 12월 01일 (11월),18:00,168.3,,168.2
1999년 11월 01일 (10월),18:00,168.2,,167.9
1999년 10월 01일 (9월),18:00,167.9,,167.1
1999년 09월 01일 (8월),18:00,167.1,,166.7
1999년 08월 01일 (7월),18:00,166.7,,166.2
1999년 07월 01일 (6월),18:00,166.2,,166.2
1999년 06월 01일 (5월),18:00,166.2,,166.2
1999년 05월 01일 (4월),18:00,166.2,,165
1999년 04월 01일 (3월),18:00,165,,164.5
1999년 03월 01일 (2월),18:00,164.5,,164.3
1999년 02월 01일 (1월),18:00,164.3,,163.9
1999년 01월 01일 (12월),18:00,163.9,,164
1998년 12월 01일 (11월),18:00,164,,164
1998년 11월 01일 (10월),18:00,164,,163.6
1998년 10월 01일 (9월),18:00,163.6,,163.4
1998년 09월 01일 (8월),18:00,163.4,,163.2
1998년 08월 01일 (7월),18:00,163.2,,163
1998년 07월 01일 (6월),18:00,163,,162.8
1998년 06월 01일 (5월),18:00,162.8,,162.5
1998년 05월 01일 (4월),18:00,162.5,,162.2
1998년 04월 01일 (3월),18:00,162.2,,161.9
1998년 03월 01일 (2월),18:00,161.9,,161.6
1998년 02월 01일 (1월),18:00,161.6,,161.3
1998년 01월 01일 (12월),18:00,161.3,,161.5
1997년 12월 01일 (11월),18:00,161.5,,161.6
1997년 11월 01일 (10월),18:00,161.6,,161.2
1997년 10월 01일 (9월),18:00,161.2,,160.8
